location_flag	location_key	network_id	item_lot	map	part	entity_id	coordinates	vanilla_item	source	landmark	confidence
52410100	fixed_saw_spear	0xBB101F	2410100	m24_01_00_00	o240611_5400	2411500	-126.422676,-67.96971,-103.74716	Saw Spear	https://www.bloodborne-wiki.com/2015/03/central-yharnam.html; https://www.bloodborne-wiki.com/2015/03/saw-spear.html	Dry Dock hanging corpse	confirmed_unique_item_and_area
52410290	fixed_saw_hunter_badge	0xBB1020	2410290	m24_01_00_00	o000630_0000	2411450	-88.35,-78.234,-4.66	Saw Hunter Badge	https://www.bloodborne-wiki.com/2015/03/central-yharnam.html; https://www.bloodborne-wiki.com/2015/03/saw-hunter-badge.html	Maneater Boar tunnel	confirmed_unique_item_and_area
52410200	fixed_central_yharnam_lot_2410200	0xBB102E	2410200	m24_01_00_00	o000632_0015	-1	-200.06,-40.409,-12.9	Molotov Cocktail x4	https://www.bloodborne-wiki.com/2015/03/central-yharnam.html	Plaza gate	confirmed_unique_item_quantity_and_area
52410380	fixed_central_yharnam_lot_2410380	0xBB103C	2410380	m24_01_00_00	o000632_0030	-1	-203.47,-40.383,-11.328	Blood Vial x2	MSB coordinate cluster with flags 52410200 and 52410520	Plaza gate	confirmed_coordinate_cluster
52410520	fixed_torch	0xBB1021	2410520	m24_01_00_00	o000633_0001	-1	-202.46,-40.377,-14.7	Torch	https://www.bloodborne-wiki.com/2015/03/central-yharnam.html	Plaza gate	confirmed_unique_item_and_area
52410610	fixed_central_yharnam_lot_2410610	0xBB104C	2410610	m24_01_00_00	o000630_0003	-1	-180.4,-60.21,-61.64	Hunter Set	https://www.bloodborne-wiki.com/2015/03/central-yharnam.html	Aqueduct drop near Large Huntsman	confirmed_unique_item_and_area
52300080	fixed_old_yharnam_lot_2300080	0xBB1097	2300080	m23_00_00_00	o000632_0017	-1	52.75,-90.41,-55.96	Coldblood Dew (2)	https://www.bloodborne-wiki.com/2015/03/old-town.html; https://www.bloodborne-wiki.com/2015/03/coldblood-dew.html	bell-tower ladder off the right path from the lamp	confirmed_item_ordinal_and_area
52400120	fixed_cathedral_ward_lot_2400120	0xBB1055	2400120	m24_00_00_00	o000630_0001	-1	-20.14,-15.17,93.94	Top Hat	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html	candlelit corpse by Oedon Chapel well	confirmed_unique_item_and_area
52400180	fixed_cathedral_ward_lot_2400180	0xBB105B	2400180	m24_00_00_00	o000631_0017	-1	-15.13,21.74,284.98	Bloodshot Eyeball	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html; https://www.bloodborne-wiki.com/2015/03/bloodshot-eyeball.html	Hemwick path from Grand Cathedral	confirmed_unique_item_quantity_and_area
52400240	fixed_cathedral_ward_lot_2400240	0xBB1061	2400240	m24_00_00_00	o000631_0033	-1	-78.52,-18.1,41.37	Monocular	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html	Yharnam Path dead-end cliff	confirmed_unique_item_and_area
52400270	fixed_cathedral_ward_lot_2400270	0xBB1064	2400270	m24_00_00_00	o000631_0020	-1	14.78,2.26,154.44	Black Messenger Hat	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html	second rooftop past Oedon Chapel Gate	confirmed_unique_item_and_area
52400280	fixed_cathedral_ward_lot_2400280	0xBB1065	2400280	m24_00_00_00	o000631_0032	-1	22.85,13.11,174.73	Numbing Mist x6	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html; https://www.bloodborne-wiki.com/2015/03/numbing-mist.html	ladder above Oedon Chapel Gate	confirmed_unique_item_quantity_and_area
52400290	fixed_cathedral_ward_lot_2400290	0xBB1066	2400290	m24_00_00_00	o000630_0000	-1	-112.23,-9.59,170.27	Black Church Hat	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html	Foggy Alley alcove	confirmed_unique_item_set_and_area
52420550	fixed_cathedral_ward_lot_2400550	0xBB107B	2400550	m24_00_00_00	o000632_0000	-1	10.11,0.8,168.55	Wooden Shield	https://www.bloodborne-wiki.com/2015/03/cathedral-ward.html; https://www.bloodborne-wiki.com/2015/03/wooden-shield.html	base of Oedon Chapel Gate	confirmed_unique_item_and_area
